trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,0,-9.877154245925473,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",25,8,-58.48705073359581,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,14,9.537552857823332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,16,-25.79996810355719,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,12,13.057774370903731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,2,-43.55796040978258,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,6,15.30995735263334,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",30,0,-16.18877581756004,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,0,-17.574034591561595,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,19,10.65716877153439,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,8,5.894085054107444,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,16,9.592323655880794,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",30,12,-29.40748158153415,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,0,-14.104380122541308,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,11,-0.03269613574037855,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,0,11.404397938558578,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,12,8.093418389389686,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,0,1.7591196246429568,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",30,21,13.107826180784075,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,0,-19.21982047963284,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",30,0,-48.65666792168549,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,13,2.6798343358022176,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,18,6.84504167610359,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",25,0,-65.70040943739075,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,14,2.3339617985105043,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,0,9.163528548638963,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",30,17,-21.742352578424743,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,0,-41.466998636410196,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,4,24.43838080354943,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,6,23.91901449875109,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,2,30.618329239977577,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",25,0,11.81336511581126,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",25,8,-31.924118920647857,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,5,17.08805010696566,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,0,28.891794015466413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,0,10.368640355460329,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,9,9.78624613793351,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,0,31.473236572245373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,7,25.420418172011786,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",30,15,12.208759343851582,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,9,12.459198382943493,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,9,13.444406626486977,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,8,19.18001231356448,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",20,6,23.84847401781262,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
