trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",30,0,-143.34244480430857,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,3,-62.106083122964,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-147.09961054013885,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-47.501074464884475,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",35,4,-153.89606753674371,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 3}",1
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-90.36025054438161,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-136.15741973976543,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-152.3355347201143,"{0: 17, 1: 1, 2: 7, 3: 5, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,-41.670510650174386,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-44.22998352257674,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,0,-74.42182530840459,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",35,0,-82.87159327747847,"{0: 22, 1: 8, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,6,-55.17136436538611,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 1}",1
